Action;Activity_details;Activity_type;DB_File_Num;uniquesod;koddoc;time:timestamp;User_id
Добавление документа;[Выход из закалки поддона № 64138]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937576;2012-07-02T6:18:12.000+0300;282
Добавление документа;[Выход из закалки поддона № 64139]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937577;2012-07-02T6:18:14.000+0300;282
Добавление документа;[Выход из закалки поддона № 64140]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937578;2012-07-02T6:18:16.000+0300;282
Добавление документа;[Выход из закалки поддона № 64141]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937579;2012-07-02T6:18:19.000+0300;282
Добавление документа;[Выход из закалки поддона № 64142]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937580;2012-07-02T6:18:21.000+0300;282
Добавление документа;[Выход из закалки поддона № 64143]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937581;2012-07-02T6:18:24.000+0300;282
Добавление документа;[Выход из закалки поддона № 64144]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937582;2012-07-02T6:18:26.000+0300;282
Добавление документа;[Выход из закалки поддона № 64145]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937583;2012-07-02T6:18:28.000+0300;282
Добавление документа;[Выход из закалки поддона № 64146]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937584;2012-07-02T6:18:31.000+0300;282
Добавление документа;[Выход из закалки поддона № 64147]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937585;2012-07-02T6:18:33.000+0300;282
Добавление документа;[Выход из закалки поддона № 64148]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937586;2012-07-02T6:18:35.000+0300;282
Добавление документа;[Выход из закалки поддона № 64149]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937587;2012-07-02T6:18:38.000+0300;282
