Action;Activity_details;Activity_type;DB_File_Num;uniquesod;koddoc;time:timestamp;User_id
Добавление содержимого док-та;[Приход сырья No 432]; тип [Приход на склад ->Приход сырья (лаборатория)]; файл sd000002; uniquesod = 24735 [01 Уп Каштан в конд. гл.];;2012-07-02T15:21:56.000+0300;284
Добавление документа;[Фасовка ГП]; тип [Фасовка ГП ->Фасовка ГП]; файл dc000038;; koddoc = 5942854;2012-07-02T15:22:40.000+0300;1191
Добавление документа;[Приход сырья No 433]; тип [Приход на склад ->Приход сырья (лаборатория)]; файл dc000002;; koddoc = 5942855;2012-07-02T15:22:51.000+0300;284
Добавление содержимого док-та;[Приход сырья No 433]; тип [Приход на склад ->Приход сырья (лаборатория)]; файл sd000002; uniquesod = 24736 [Г-ящик №1];;2012-07-02T15:23:26.000+0300;284
Добавление документа;[Приход сырья No 434]; тип [Приход на склад ->Приход сырья (лаборатория)]; файл dc000002;; koddoc = 5942867;2012-07-02T15:23:56.000+0300;284
Добавление документа;[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5942882;2012-07-02T15:24:42.000+0300;282
Добавление содержимого док-та;[Приход сырья No 434]; тип [Приход на склад ->Приход сырья (лаборатория)]; файл sd000002; uniquesod = 24737 [Г-ящик № 8];;2012-07-02T15:24:47.000+0300;284
Добавление документа;[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5942886;2012-07-02T15:24:49.000+0300;282
Добавление документа;[Приход сырья No 435]; тип [Приход на склад ->Приход сырья (лаборатория)]; файл dc000002;; koddoc = 5942898;2012-07-02T15:25:42.000+0300;284
Добавление документа;[Передача в производство]; тип [Лимитки ->Списание на производство (склад сырья)]; файл dc000045;; koddoc = 5942904;2012-07-02T15:26:08.000+0300;296
Добавление документа;[Передача в производство]; тип [Лимитки ->Списание на производство (фасовочное отделение)]; файл dc000045;; koddoc = 5943436;2012-07-02T15:58:48.000+0300;1191
Добавление документа;[Выход из закалки поддона]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5943746;2012-07-02T16:16:32.000+0300;282
Добавление документа;[Передача в производство]; тип [Лимитки ->Списание на производство (фасовочное отделение)]; файл dc000045;; koddoc = 5943775;2012-07-02T16:20:04.000+0300;1191
Добавление документа;[Приход сырья No 436]; тип [Приход на склад ->Приход сырья (лаборатория)]; файл dc000002;; koddoc = 5943967;2012-07-02T16:33:18.000+0300;284
Добавление документа;[Списание в переработку 19]; тип [Внутренние перемещен->Списание ГП на переработку (склад ГП)]; файл dc000003;; koddoc = 5944336;2012-07-02T16:50:24.000+0300;295
Добавление документа;[Передача в производство]; тип [Лимитки ->Списание на производство (склад сырья)]; файл dc000045;; koddoc = 5944353;2012-07-02T16:51:19.000+0300;296
Добавление документа;[Перемещение брака]; тип [Внутренние перемещен->Перемещение брака (склад ГП->ЗО)]; файл dc000003;; koddoc = 5944397;2012-07-02T16:52:30.000+0300;295
Добавление документа;[Передача в производство]; тип [Лимитки ->Списание на производство (склад сырья)]; файл dc000045;; koddoc = 5944423;2012-07-02T16:54:17.000+0300;296
Добавление документа;[Фасовка ГП]; тип [Фасовка ГП ->Фасовка ГП]; файл dc000038;; koddoc = 5946666;2012-07-02T17:57:01.000+0300;17
